respondent_id,Do you consider yourself to be an older adult?,I have heard _______________ about age discrimination.,In recent years I have been discriminated against or treated more negatively by others because of my older age.,In recent years I have avoided certain social settings out of concern that I might be treated negatively because of my age.,Age discrimination is too often excused.,Age discrimination is a major problem in our society.,I have had experiences with age discrimination that have caused me mental or emotional stress.,Age discrimination is taken too seriously.,Have you or anyone you know ever seen or been the target of discrimination in the workplace based on older age?,Have you or anyone you know ever seen or been the target of discrimination based on older age while applying or interviewing for jobs?,Have you or anyone you know ever seen discriminatory depictions of older age in product marketing or advertisements?,Have you or anyone you know ever seen discriminatory depictions of older age in television shows or movies?,How acceptable do you believe it is for organizations to use age-related information in algorithms to show you targeted ads for products and services?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review employment applications?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review applications for social services?,Have you ever been aware of an automated algorithm used to review an application of yours for a job or employment?,Have you ever been aware of an automated algorithm used to present you with a product advertisement?,Have you ever been aware of an automated algorithm used to review an application of yours for a public or social service?
R_1oGUXGL7lOND2oZ,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3O69qS9dmIGLZhL,No,A little,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Yes,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3k7AQ5R8Y8IXooj,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2VJavesQbJEPn1l,Yes,Some,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,No,No,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_2Tv1RL7UCM1LAz9,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_1dGkte1GBdZ11rI,Yes,A great deal,Somewhat disagree,Somewhat disagree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Very acceptable,Yes,Yes,Yes
R_1dFZXV7Kuxkqbal,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_D2FMequApyY5FOp,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_1OAKoZOGTEVGR78,Yes,A little,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,Yes,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_YWHN7JpMkUnXtL3,No,Nothing,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_ZleX6mnkJsQUwUx,Yes,A great deal,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_NVbRS571VwykFiN,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3MGP9toO9FB1YSy,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_3O99eIOG41rQJxK,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1ovUFTJMCw5mJfo,Yes,A little,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1qgEHtFb9ebZ1rU,Yes,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3KDc7SPYw6fRlmI,Yes,A little,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_3Eioj5qWNhP1TTw,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,No,Yes,No,No,Very acceptable,Somewhat acceptable,Not at all acceptable,No,Yes,No
R_3CI9LX2JSkBEBp9,Yes,Some,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,No,Yes,Yes,No,Not very acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_2y2yXfSUn9N1SYX,No,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_ZDKl4AReezcPtMl,Yes,Some,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3iC0Acog4I55hV5,Yes,A great deal,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_3njG0Fh9zg6pKIk,Yes,A little,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,No,No,Yes,No,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_12FjnISykgtwzz2,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_PAnCNf9hluOm7bX,Yes,Some,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_2y2Fxo7bu49ZslO,Yes,A little,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_VKgZ5JNEhZrcYY9,Yes,A little,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,Yes,Yes,Not at all acceptable,Somewhat acceptable,Not very acceptable,No,Yes,No
R_1i84GM8iaYxQpwr,Yes,A great deal,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_1r1igF8ovLOz7Kj,No,Some,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_1JKGdkPW3W2fNs3,Yes,Some,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,No,No,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_26fGqXC4kB0DHqQ,No,Some,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_33lpsRznpjdqENz,Yes,Some,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,Yes,No,No,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_cBxniCt7uDhFKZb,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Very acceptable,No,Yes,No
R_3oAZRRiyrf5C62H,Yes,A little,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,Yes,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2w76iu45e301mST,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2dXhuvt8nrKrqDy,Yes,Nothing,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2qrCsfDnCvvm90a,Yes,A little,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3P5FDlmVbdJ7Kn3,Yes,A great deal,Neither agree nor disagree,Somewhat agree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_3n10jFaBlKzMsTI,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_2qkDogvajPsvMiV,Yes,A great deal,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,No,No,No,No,Not at all acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1IRBNnljNA7ZWtP,No,Some,Somewhat disagree,Strongly disagree,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,No,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_3ErS29Wuo3PyqYf,No,A little,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,No,No,Yes,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3MEfughIvUyK8kS,Yes,A great deal,Somewhat agree,Somewhat disagree,Strongly Agree,Somewhat agree,Somewhat disagree,Strongly disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_T7TExBY3X6jfrIB,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Yes,Yes,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_1lhlqJjay8rBqMr,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,Yes,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_BxJsUGaZsA4zBbb,Yes,Some,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_4YGienLNPq1zptf,Yes,Some,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_3rHPDld0UvSKgKO,No,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_3FJ3gD6EtkynidO,Yes,Some,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1rjMoj8W68IM5dN,Yes,A great deal,Strongly agree,Strongly disagree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_24CrFdmSrOPf7mU,Yes,A little,Strongly disagree,Neither agree nor disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_1dvnKHkfioWLyIJ,Yes,A little,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_41LB9vf2fqXVkIh,Yes,A great deal,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1pxjdWvr8lmWnZ4,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_3NVu5KGaIy6zKEl,Yes,A great deal,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_26l7kB9bRy8pVu4,Yes,Some,Strongly agree,Somewhat disagree,Strongly Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,Yes,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3fdtehgot1BxM0I,Yes,A little,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Very acceptable,No,Yes,Yes
R_3Ev7K4bkBGzFNde,Yes,A great deal,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_1kFdH0kHagbRseK,Yes,Some,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,Yes,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2CdoODpckOeeiro,Yes,A little,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Yes,No,No,Yes,Very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_27r3LvxoducJcSU,Yes,Some,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,Yes,No,No,Not very acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_2uVvqfO181P4rWW,Yes,A great deal,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Very acceptable,No,No,No
R_3hAZ83NIwhy45TD,Yes,Some,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_z0tJoCXSnCKOio9,Yes,A little,Somewhat disagree,Neither agree nor disagree,Strongly Agree,Strongly agree,Somewhat disagree,Strongly agree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,Yes,Yes,No
R_XhvOJxal0OT9mQp,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_30wuDbCKF8c5Mce,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_29hP1T6WMPW5NVu,Yes,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,No,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,Yes
R_W69YHmRvrS4KjQZ,Yes,Some,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,No,No,No,No,Not very acceptable,Somewhat acceptable,Not very acceptable,No,Yes,No
R_31RE4FjyOWYjC0y,Yes,A great deal,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_21yAqy7pI8BneIG,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,No,Yes,Yes,Very acceptable,Not very acceptable,Very acceptable,No,Yes,No
R_239yyz2OTi4NAfr,Yes,Nothing,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_296RosSwZ0GSdps,No,Nothing,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_28OR28JqgbrlwTI,No,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,Yes,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,Yes,Yes
R_3mlZBsoY9hvx8EF,Yes,A great deal,Strongly agree,Somewhat agree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Very acceptable,No,Yes,No
R_2riparmrpuktoUc,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,Yes,No,Yes
R_1gzKMCLQsTCpvaf,Yes,A great deal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3dDJmO3jN6ksjPR,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3O7V8xNaVWzrrBm,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_3Migpp8MPQFJFtF,Yes,Nothing,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_YVQTnuia2Cjpd4t,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_PMtRAnor62rE9JT,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_2UVfNDr3TyrJCk7,Yes,Some,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Yes,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2ZQ7IvQB8D0HbBI,Yes,Some,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,Yes,Yes,Not at all acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_25QoKAXDpKbnzZ2,Yes,A little,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3KJI6Haw1JUlu2h,Yes,A great deal,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,Yes
R_27CjprURCF8LmWV,Yes,A little,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1f3NrkWn97gKf1M,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Very acceptable,No,Yes,Yes
